timestamp,index,timestamp,name,temperature.gpu,utilization.gpu,utilization.memory,memory.total,memory.used,memory.free,power.draw,fan.speed,pstate,clocks.current.graphics,clocks.current.memory
2025-03-12 19:30:22.692276,4,2025/03/12 19:30:22.684,Quadro RTX 8000,67,92,86,49152,10535,38057,265.08,42,P2,1830,6500
2025-03-12 19:30:25.026431,4,2025/03/12 19:30:25.017,Quadro RTX 8000,67,89,81,49152,10535,38057,258.38,42,P2,1830,6500
2025-03-12 19:30:27.342661,4,2025/03/12 19:30:27.335,Quadro RTX 8000,67,98,92,49152,10535,38057,259.05,42,P2,1845,6500
2025-03-12 19:30:29.676767,4,2025/03/12 19:30:29.668,Quadro RTX 8000,67,98,92,49152,10535,38057,257.18,42,P2,1830,6500
2025-03-12 19:30:32.006489,4,2025/03/12 19:30:31.999,Quadro RTX 8000,67,98,92,49152,10535,38057,259.12,42,P2,1845,6500
2025-03-12 19:30:34.346343,4,2025/03/12 19:30:34.337,Quadro RTX 8000,64,2,1,49152,10535,38057,102.52,43,P2,1875,6500
2025-03-12 19:30:36.692016,4,2025/03/12 19:30:36.685,Quadro RTX 8000,67,98,92,49152,10535,38057,231.08,42,P2,1860,6500
2025-03-12 19:30:39.030367,4,2025/03/12 19:30:39.024,Quadro RTX 8000,67,80,70,49152,10535,38057,253.05,42,P2,1860,6500
2025-03-12 19:30:41.368883,4,2025/03/12 19:30:41.360,Quadro RTX 8000,67,79,70,49152,10535,38057,247.00,42,P2,1830,6500
2025-03-12 19:30:43.716799,4,2025/03/12 19:30:43.707,Quadro RTX 8000,67,98,92,49152,10535,38057,260.42,42,P2,1845,6500
2025-03-12 19:30:46.062525,4,2025/03/12 19:30:46.046,Quadro RTX 8000,68,98,92,49152,10535,38057,260.41,42,P2,1830,6500
2025-03-12 19:30:48.400643,4,2025/03/12 19:30:48.387,Quadro RTX 8000,67,98,92,49152,10535,38057,238.03,43,P2,1875,6500
2025-03-12 19:30:50.743886,4,2025/03/12 19:30:50.737,Quadro RTX 8000,67,83,73,49152,10535,38057,258.17,43,P2,1860,6500
