CPU_usage,Memory_info,DiskUsage,nWattsSupply,Moment
874.7,"svmem(total=540894633984, available=507410313216, percent=6.2, used=29926780928, free=361864593408, active=64593289216, inactive=103384375296, buffers=2552844288, cached=146550415360, shared=56205312, slab=7698620416)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:11.036404
910.1,"svmem(total=540894633984, available=507404603392, percent=6.2, used=29932474368, free=361858883584, active=64598122496, inactive=103384375296, buffers=2552844288, cached=146550431744, shared=56205312, slab=7699603456)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:13.379987
774.9,"svmem(total=540894633984, available=507410591744, percent=6.2, used=29926518784, free=361864814592, active=64592150528, inactive=103384424448, buffers=2552844288, cached=146550456320, shared=56205312, slab=7698661376)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:15.717007
734.5,"svmem(total=540894633984, available=507393392640, percent=6.2, used=29943713792, free=361847570432, active=64607232000, inactive=103384436736, buffers=2552844288, cached=146550505472, shared=56205312, slab=7699841024)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:18.027505
574.8,"svmem(total=540894633984, available=507403366400, percent=6.2, used=29933723648, free=361857503232, active=64598499328, inactive=103384469504, buffers=2552844288, cached=146550562816, shared=56205312, slab=7699324928)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:20.370957
624.1,"svmem(total=540894633984, available=507391795200, percent=6.2, used=29945286656, free=361845923840, active=64611295232, inactive=103384477696, buffers=2552844288, cached=146550579200, shared=56205312, slab=7699324928)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:22.702347
815.7,"svmem(total=540894633984, available=507391459328, percent=6.2, used=29945618432, free=361845571584, active=64613429248, inactive=103384494080, buffers=2552844288, cached=146550599680, shared=56205312, slab=7698898944)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:25.054232
605.4,"svmem(total=540894633984, available=507387781120, percent=6.2, used=29949304832, free=361841860608, active=64616357888, inactive=103384518656, buffers=2552844288, cached=146550624256, shared=56205312, slab=7700070400)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:27.373317
803.4,"svmem(total=540894633984, available=507372462080, percent=6.2, used=29964623872, free=361826492416, active=64630984704, inactive=103384567808, buffers=2552844288, cached=146550673408, shared=56205312, slab=7700119552)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:29.691491
697.3,"svmem(total=540894633984, available=507366526976, percent=6.2, used=29970575360, free=361820524544, active=64639885312, inactive=103384600576, buffers=2552844288, cached=146550689792, shared=56205312, slab=7699005440)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:32.029855
841.2,"svmem(total=540894633984, available=507351867392, percent=6.2, used=29985226752, free=361805848576, active=64656007168, inactive=103384608768, buffers=2552844288, cached=146550714368, shared=56205312, slab=7699374080)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:34.342539
787.9,"svmem(total=540894633984, available=507363745792, percent=6.2, used=29973344256, free=361817681920, active=64646180864, inactive=103384653824, buffers=2552844288, cached=146550763520, shared=56205312, slab=7698726912)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:36.670783
785.6,"svmem(total=540894633984, available=507368030208, percent=6.2, used=29969051648, free=361821958144, active=64635805696, inactive=103384662016, buffers=2552844288, cached=146550779904, shared=56205312, slab=7698833408)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:38.989767
753.0,"svmem(total=540894633984, available=507371683840, percent=6.2, used=29965402112, free=361825558528, active=64634535936, inactive=103384715264, buffers=2552844288, cached=146550829056, shared=56205312, slab=7698866176)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:41.331358
709.8,"svmem(total=540894633984, available=507357495296, percent=6.2, used=29979574272, free=361811329024, active=64651259904, inactive=103384748032, buffers=2552844288, cached=146550886400, shared=56205312, slab=7699849216)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:43.650439
